time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-08-24T14:28:02.200Z,18.7448,-66.5664,44,2.8,Md,10,237.6,0.26769795,0.27,pr,pr15236007,2015-08-24T22:30:40.687Z,"32km NNW of Tierras Nuevas Poniente, Puerto Rico",earthquake
2015-08-24T14:24:07.000Z,-21.713,-68.501,120.3,4.6,mb,,,,0.86,us,us100034hd,2015-08-24T22:26:41.687Z,"94km NNE of Calama, Chile",earthquake
2015-08-24T13:50:57.220Z,-7.1396,131.5247,196.46,4.3,mb,,142,0.867,0.56,us,us100034h7,2015-08-24T21:53:30.057Z,"92km NNE of Saumlaki, Indonesia",earthquake
2015-08-24T13:34:33.220Z,37.599,-118.7888333,7.36,2.87,md,33,75,0.03322,0.04,nc,nc72511936,2015-08-24T19:13:04.242Z,"17km ESE of Mammoth Lakes, California",earthquake
2015-08-24T13:09:44.270Z,-7.3956,129.1195,153.46,4,mb,,54,2.237,0.76,us,us100034h2,2015-08-24T21:12:18.993Z,"250km WNW of Saumlaki, Indonesia",earthquake
2015-08-24T11:51:01.920Z,56.1847,164.2991,31.71,5,mb,,97,4.562,0.74,us,us100034fr,2015-08-24T19:53:35.932Z,"113km E of Ust'-Kamchatsk Staryy, Russia",earthquake
2015-08-24T10:50:43.500Z,36.0243,-97.1332,0.108,2.7,ml,,66,,0.61,us,us100034he,2015-08-24T21:42:29.434Z,"10km WNW of Perkins, Oklahoma",earthquake
2015-08-24T10:01:03.470Z,-18.0088,-70.9296,71.48,4.9,mb,,142,0.664,1.38,us,us100034fm,2015-08-24T14:52:03.204Z,"59km SE of Ilo, Peru",earthquake
2015-08-24T09:41:26.260Z,-30.8754,-178.3186,220.78,5.7,mwp,,76,1.659,1.03,us,us100034fl,2015-08-24T18:56:57.000Z,"83km NE of L'Esperance Rock, New Zealand",earthquake
2015-08-24T08:34:51.400Z,19.4776,-65.6895,98,3.4,Md,10,266.4,1.20913237,0.25,pr,pr15236006,2015-08-24T16:37:32.474Z,"117km N of Vieques, Puerto Rico",earthquake
2015-08-24T08:14:29.100Z,19.2735,-66.4485,46,2.7,Md,12,270,0.79500903,0.2,pr,pr15236005,2015-08-24T16:17:10.805Z,"89km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2015-08-24T07:09:02.000Z,65.1456,-148.8384,15.9,2.8,ml,,,,0.74,ak,ak11684282,2015-08-24T15:11:30.160Z,"51km NW of Ester, Alaska",earthquake
2015-08-24T06:59:53.500Z,18.6791,-64.657,77,2.9,Md,8,234,0.26320638,0.07,pr,pr15236004,2015-08-24T15:02:32.381Z,"29km N of Road Town, British Virgin Islands",earthquake
2015-08-24T05:49:45.740Z,37.3066,141.1513,13.57,4.8,mb,,118,0.63,0.9,us,us100034f4,2015-08-24T09:51:34.797Z,"23km SE of Namie, Japan",earthquake
2015-08-24T05:13:50.000Z,-29.7434,-71.3054,44.27,4.8,mb,,86,0.184,0.74,us,us100034f1,2015-08-24T05:56:40.492Z,"18km NNW of La Serena, Chile",earthquake
2015-08-24T04:31:59.670Z,51.7938,178.0664,111.15,4.4,mb,,88,0.875,1.43,us,us100034ew,2015-08-24T15:11:04.115Z,"34km WSW of Little Sitkin Island, Alaska",earthquake
2015-08-24T04:25:20.780Z,40.7673,21.1991,11.29,4.3,mb,,45,1.164,0.91,us,us100034eu,2015-08-24T05:50:08.141Z,"17km W of Florina, Greece",earthquake
2015-08-24T03:59:09.910Z,37.9534,142.447,40.76,4.5,mb,,135,1.313,0.85,us,us100034er,2015-08-24T12:01:39.486Z,"112km ESE of Ishinomaki, Japan",earthquake
2015-08-24T03:43:53.000Z,44.26,11.94,22,3.5,ml,,,,0.82,us,us100034em,2015-08-24T21:19:58.989Z,"5km ESE of Faenza, Italy",earthquake
2015-08-24T03:36:28.800Z,19.4698,-65.4298,110,3.4,Md,4,331.2,1.16421661,0.15,pr,pr15236002,2015-08-24T11:39:10.485Z,"123km NNE of Vieques, Puerto Rico",earthquake
2015-08-24T03:35:50.500Z,18.1,-64.441,13,2.6,Md,5,262.8,0.35663117,0.62,pr,pr15236001,2015-08-24T11:38:24.457Z,"39km SSE of Road Town, British Virgin Islands",earthquake
2015-08-24T03:19:13.000Z,64.9867,-150.7419,18.3,2.9,ml,,,,0.73,ak,ak11684112,2015-08-24T11:21:51.638Z,"5km WSW of Manley Hot Springs, Alaska",earthquake
2015-08-24T03:09:48.300Z,18.2688,-67.5958,9,3,Md,10,169.2,0.15900181,0.21,pr,pr15236000,2015-08-24T11:12:15.887Z,"37km WSW of Rincon, Puerto Rico",earthquake
2015-08-24T02:42:48.000Z,-29.844,-71.239,44.9,4.3,mb,,,,0.81,us,us100034eh,2015-08-24T10:46:53.860Z,"7km NNE of La Serena, Chile",earthquake
2015-08-24T02:15:51.120Z,3.8399,-71.2138,14.18,4.4,mb,,101,2.762,0.99,us,us100034e9,2015-08-24T10:18:30.296Z,"106km S of Orocue, Colombia",earthquake
2015-08-24T01:59:02.920Z,-7.2036,123.755,564.68,4.7,mb,,45,2.069,0.93,us,us100034e7,2015-08-24T10:01:30.066Z,"181km NE of Palue, Indonesia",earthquake
2015-08-24T01:18:43.150Z,-20.3969,-69.188,114.61,4.7,mb,,49,0.256,1.35,us,us100034e3,2015-08-24T17:41:32.040Z,"101km ESE of Iquique, Chile",earthquake
2015-08-24T01:17:04.300Z,31.239,-115.9426667,5.066,3.12,ml,12,215,0.8791,0.22,ci,ci37231863,2015-08-24T20:28:34.417Z,"80km SE of Maneadero, B.C., MX",earthquake
2015-08-24T00:41:07.700Z,44.3865,-115.8135,5.41,2.5,ml,,32,0.713,0.83,us,us100034dy,2015-08-24T08:43:34.294Z,"23km SE of Cascade, Idaho",earthquake
2015-08-23T23:56:10.000Z,60.4313,-144.0549,21.7,3.3,ml,,,,0.94,ak,ak11684045,2015-08-24T07:58:46.048Z,"94km WNW of Cape Yakataga, Alaska",earthquake
2015-08-23T23:53:00.400Z,18.1576,-64.9231,12,2.8,Md,4,208.8,0.37280084,0.33,pr,pr15235009,2015-08-24T07:55:29.049Z,"20km S of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T23:39:48.100Z,36.2777,-97.5083,5,2.8,mb_lg,,40,0.445,0.64,us,us100034dw,2015-08-24T07:09:00.420Z,"19km W of Perry, Oklahoma",earthquake
2015-08-23T23:10:03.920Z,-29.6708,-71.4264,33.86,5.5,mb,,89,0.296,1.27,us,us100034du,2015-08-24T23:32:21.000Z,"31km NNW of La Serena, Chile",earthquake
2015-08-23T22:58:51.840Z,2.341,125.323,160.16,4.7,mb,,138,2.569,0.76,us,us100034ds,2015-08-24T07:01:22.634Z,"100km N of Bitung, Indonesia",earthquake
2015-08-23T22:13:10.380Z,18.7099,145.8267,133.69,4.6,mb,,146,2.358,0.65,us,us100034da,2015-08-24T06:15:46.459Z,"17km ESE of Agrihan, Northern Mariana Islands",earthquake
2015-08-23T20:57:05.740Z,-19.7424,-70.4073,60.44,4.9,mb,,145,0.304,1.24,us,us100034cw,2015-08-24T19:12:12.040Z,"59km NNW of Iquique, Chile",earthquake
2015-08-23T20:39:46.260Z,0.8686,97.8965,29.29,4.7,mb,,181,0.538,0.69,us,us100034cv,2015-08-24T04:42:32.318Z,"137km SW of Sibolga, Indonesia",earthquake
2015-08-23T19:54:26.400Z,5.4143,93.4156,32.66,4.7,mb,,145,5.823,0.96,us,us100034ck,2015-08-24T03:57:08.971Z,"211km W of Banda Aceh, Indonesia",earthquake
2015-08-23T19:14:41.420Z,-20.4865,-177.8474,543.59,4.3,mb,,107,4.739,0.58,us,us100034ci,2015-08-24T03:17:18.520Z,"90km ENE of Ndoi Island, Fiji",earthquake
2015-08-23T17:41:18.670Z,38.7843333,-122.7436667,4.37,3.83,mw,105,34,0.005535,0.07,nc,nc72511186,2015-08-25T07:25:16.329Z,"1km NE of The Geysers, California",earthquake
2015-08-23T17:26:15.520Z,35.4813333,-118.425,5.119,2.65,ml,46,34,0.1854,0.17,ci,ci37231743,2015-08-24T21:04:15.605Z,"13km SSE of Bodfish, California",earthquake
2015-08-23T16:21:35.320Z,36.0452,-97.1489,4.86,3.5,mb_lg,,75,0.267,0.24,us,us100034cc,2015-08-25T13:12:54.126Z,"11km SW of Stillwater, Oklahoma",earthquake
2015-08-23T16:07:31.520Z,19.7485,-155.3906667,27.599,2.56,ml,56,64,0.06732,0.12,hv,hv61016681,2015-08-24T21:04:39.063Z,"30km W of Wainaku, Hawaii",earthquake
2015-08-23T15:48:37.020Z,14.8191,146.5819,64.62,4.6,mb,,73,0.861,0.83,us,us100034c6,2015-08-23T23:51:20.467Z,"99km ESE of Saipan, Northern Mariana Islands",earthquake
2015-08-23T15:41:16.000Z,67.2342,-160.4907,15,3.2,ml,,,,0.56,ak,ak11683810,2015-08-23T23:44:27.290Z,"98km ENE of Kotzebue, Alaska",earthquake
2015-08-23T14:55:59.140Z,12.9955,-89.5909,35,4.3,mb,,141,0.771,1.53,us,us100034bv,2015-08-23T18:26:05.902Z,"61km SSW of La Libertad, El Salvador",earthquake
2015-08-23T14:33:29.100Z,1.5484,127.3877,19.16,4.7,mb,,90,0.771,0.78,us,us100034bs,2015-08-23T22:35:58.691Z,"71km WSW of Tobelo, Indonesia",earthquake
2015-08-23T13:53:07.670Z,36.2778,-97.5144,2.98,3.1,mb_lg,,61,0.441,0.35,us,us100034bm,2015-08-23T21:55:44.538Z,"20km W of Perry, Oklahoma",earthquake
2015-08-23T13:17:25.700Z,17.9873,-67.6839,65,2.8,Md,7,331.2,0.59827798,0.27,pr,pr15235008,2015-08-23T21:19:57.907Z,"52km W of Pole Ojea, Puerto Rico",earthquake
2015-08-23T13:16:52.000Z,52.6862,-168.2777,27.4,2.9,ml,,,,0.94,ak,ak11683772,2015-08-23T21:19:30.240Z,"48km SE of Nikolski, Alaska",earthquake
2015-08-23T12:52:56.130Z,40.3841667,-125.2201667,4.19,2.56,md,25,261,0.6799,0.25,nc,nc72511056,2015-08-25T03:10:30.835Z,"83km WSW of Ferndale, California",earthquake
2015-08-23T12:28:50.010Z,-27.0282,-175.292,43.12,4.6,mb,,106,3.209,0.49,us,us100034bi,2015-08-23T20:31:20.656Z,"Kermadec Islands region",earthquake
2015-08-23T10:17:08.940Z,52.6637,160.9003,33.78,4.8,mb,,120,1.411,1.2,us,us100034bf,2015-08-23T18:19:45.356Z,"157km ESE of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-08-23T09:24:53.700Z,19.1079,-65.1317,20,2.9,Md,3,288,0.80848376,0.12,pr,pr15235005,2015-08-23T17:27:28.650Z,"87km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T09:14:41.000Z,19.0976,-65.1354,34,2.9,Md,5,270,0.76177136,0.05,pr,pr15235006,2015-08-23T17:17:23.545Z,"86km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T09:06:48.200Z,18.7649,-65.0524,77,2.9,Md,4,255.6,0.42130987,0.07,pr,pr15235004,2015-08-23T17:09:29.789Z,"48km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T09:03:02.200Z,19.0035,-65.1025,62,3,Md,6,259.2,0.66385499,0.11,pr,pr15235003,2015-08-23T17:05:58.914Z,"75km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-23T09:02:09.040Z,27.8497,86.0595,35,5,mb,,100,12.424,0.92,us,us100034be,2015-08-23T13:43:52.876Z,"15km SE of Kodari, Nepal",earthquake
2015-08-23T08:31:51.400Z,19.1068,-64.5615,128,3.4,Md,5,288,0.62971901,0.2,pr,pr15235002,2015-08-23T16:34:25.033Z,"76km N of Road Town, British Virgin Islands",earthquake
2015-08-23T07:04:12.380Z,31.3202,-103.1325,5,2.7,mb_lg,,88,1.958,0.55,us,us100034af,2015-08-23T15:06:43.554Z,"36km ESE of Pecos, Texas",earthquake
2015-08-23T06:19:49.990Z,14.8525,-92.541,86.33,4.1,mb,,171,0.881,1.1,us,us100034ae,2015-08-23T14:22:35.928Z,"9km W of Mazatan, Mexico",earthquake
2015-08-23T04:57:04.200Z,18.0755,-67.6595,60,2.9,Md,12,201.6,0.35034296,0.43,pr,pr15235001,2015-08-23T12:59:46.586Z,"50km W of Puerto Real, Puerto Rico",earthquake
2015-08-23T04:48:49.050Z,13.129,-90.2349,49.32,5.2,mb,,120,1.122,1.15,us,us100034a7,2015-08-24T03:09:46.121Z,"67km SW of Acajutla, El Salvador",earthquake
2015-08-23T04:30:13.440Z,36.7791,-98.5178,5,3.2,mb_lg,,71,0.248,0.51,us,us100034a6,2015-08-23T17:30:26.997Z,"13km ESE of Alva, Oklahoma",earthquake
2015-08-23T03:42:06.610Z,39.3255,-123.152,6.7,2.76,md,66,36,0.1664,0.07,nc,nc72510771,2015-08-24T21:07:04.515Z,"8km NE of Redwood Valley, California",earthquake
